t_s,dist_m,epoch_iso,lon,lat,sv,constellation,az,el,range_m,status,block_kind
77,641.667,2026-05-09T10:01:17+00:00,11.329265768852224,44.49215269401178,G08,GPS,269.4997859407571,77.94838297270915,20298112.265,VEG,vegetation
77,641.667,2026-05-09T10:01:17+00:00,11.329265768852224,44.49215269401178,G10,GPS,53.718043130940316,53.23797256811222,21452768.098,LOS,
77,641.667,2026-05-09T10:01:17+00:00,11.329265768852224,44.49215269401178,G16,GPS,186.72221652997874,12.193070251872491,24811528.881,NLOS,building
77,641.667,2026-05-09T10:01:17+00:00,11.329265768852224,44.49215269401178,G23,GPS,45.41877607195471,17.84422044644691,23931661.742,NLOS,building
77,641.667,2026-05-09T10:01:17+00:00,11.329265768852224,44.49215269401178,G27,GPS,145.5304698909888,60.122547587494566,20888747.889,LOS,
77,641.667,2026-05-09T10:01:17+00:00,11.329265768852224,44.49215269401178,G32,GPS,120.578579448136,29.396129008377862,22991946.1,LOS,
77,641.667,2026-05-09T10:01:17+00:00,11.329265768852224,44.49215269401178,E13,Galileo,235.59768377340342,12.670150751852194,27525502.767,LOS,
77,641.667,2026-05-09T10:01:17+00:00,11.329265768852224,44.49215269401178,E15,Galileo,242.6502161677708,65.50719583113285,23678768.148,LOS,
77,641.667,2026-05-09T10:01:17+00:00,11.329265768852224,44.49215269401178,E21,Galileo,318.5867440287199,12.306793661374153,27596197.999,NLOS,building
77,641.667,2026-05-09T10:01:17+00:00,11.329265768852224,44.49215269401178,E27,Galileo,288.1858237738777,59.786874581313135,23928074.297,VEG,vegetation
77,641.667,2026-05-09T10:01:17+00:00,11.329265768852224,44.49215269401178,E30,Galileo,175.4045479929905,54.23594006673242,24189671.362,LOS,
77,641.667,2026-05-09T10:01:17+00:00,11.329265768852224,44.49215269401178,E34,Galileo,48.05538214715284,57.62341819279456,24025865.769,LOS,
78,650.0,2026-05-09T10:01:18+00:00,11.329241465308087,44.492225604517735,G01,GPS,271.0939365100218,25.149770842748325,23175399.273,VEG,vegetation
78,650.0,2026-05-09T10:01:18+00:00,11.329241465308087,44.492225604517735,G02,GPS,290.8573148747838,52.749664223086256,21340860.475,VEG,vegetation
