window_kind,window_start_time_utc,window_score,epoch_iso,t_s,dist_m,lon,lat,visible_total,los_total,nlos_obstacles,vegetation_degraded,gnss_denied_tunnel_or_covered,pdop_present,pdop_los_total,pdop_los_gps,pdop_los_galileo,svi_total,svi_gps,svi_galileo
worst,16:15:00,70.45454545454545,2026-05-09T16:22:35+00:00,455,3791.667,11.324907673917437,44.516529485948176,15,9,6,0,0,1.204768712370469,2.970846443822119,9.175619887803213,6.514977257259761,0.6,0.5,0.7142857142857143
worst,16:15:00,70.45454545454545,2026-05-09T16:22:42+00:00,462,3850.0,11.324791643235017,44.51704589192303,15,12,3,0,0,1.2049842188633715,1.7283166221662047,2.6474214380557064,3.0253124138328173,0.8,0.75,0.8571428571428571
worst,16:15:00,70.45454545454545,2026-05-09T16:22:49+00:00,469,3908.333,11.324548969198077,44.51753727715003,15,12,3,0,0,1.2052003908552593,1.7284250236899026,2.6478390218876364,3.0240515068085227,0.8,0.75,0.8571428571428571
worst,16:15:00,70.45454545454545,2026-05-09T16:22:56+00:00,476,3966.667,11.324203450382015,44.518000204638064,15,12,3,0,0,1.2054172326934547,1.6644064382212875,2.5258451254289858,2.430228742603901,0.8,0.75,0.8571428571428571
worst,16:15:00,70.45454545454545,2026-05-09T16:23:03+00:00,483,4025.0,11.323765882551015,44.518421127310354,15,13,2,0,0,1.2056347431502463,1.543393091697421,2.1178852968441877,2.4299111442483525,0.8666666666666667,0.875,0.8571428571428571
worst,16:15:00,70.45454545454545,2026-05-09T16:23:10+00:00,490,4083.333,11.32321028872991,44.51875985563558,15,13,2,0,0,1.2058529061779135,1.4822693642864235,2.6064264038733596,1.958584455604083,0.8666666666666667,0.75,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:23:17+00:00,497,4141.667,11.32264145247973,44.51902916199055,15,15,0,0,0,1.2060717514201835,1.2060717514201835,1.6829678139395714,1.958699826239339,1.0,1.0,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:23:24+00:00,504,4200.0,11.322193319881194,44.51861331989175,15,15,0,0,0,1.2062912184136274,1.2062912184136274,1.683238336736959,1.9588159420853843,1.0,1.0,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:23:31+00:00,511,4258.333,11.321884420986635,44.518143262970696,15,15,0,0,0,1.2065114062876692,1.2065114062876692,1.6835103405206049,1.95893261588859,1.0,1.0,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:23:38+00:00,518,4316.667,11.321791798628169,44.51762348974298,15,15,0,0,0,1.2067323331037867,1.2067323331037867,1.6837839082527646,1.959049887464371,1.0,1.0,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:23:45+00:00,525,4375.0,11.321721511553164,44.517101336676,15,15,0,0,0,1.2069539480551235,1.2069539480551235,1.6840589042696854,1.9591676318859979,1.0,1.0,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:23:52+00:00,532,4433.333,11.321521640658375,44.51660164066548,15,14,1,0,0,1.2071762100783592,1.330537494145515,1.684335207396494,2.4277219375375436,0.9333333333333333,1.0,0.8571428571428571
worst,16:15:00,70.45454545454545,2026-05-09T16:23:59+00:00,539,4491.667,11.321095671746093,44.51617537394603,15,14,1,0,0,1.2073990985281549,1.3010287116726862,2.1186912031146288,1.959404194513512,0.9333333333333333,0.875,1.0
